,file name,file length,number of errors,time of error
0,EN10QC259_EN0101_20211101.wav,354,0,[]
1,EN10QC248_EN0119_20211025.wav,354,0,[]
2,EN40QB231_EN0101_20211109.wav,354,1,"[(0, 1600)]"
3,EN10QC251_EN0101_20211101.wav,354,0,[]
4,EN30QA282_EN0051_20210919.wav,354,0,[]
5,EN40QB277_EN0101_20211109.wav,354,0,[]
6,EN30QA283_EN0051_20210919.wav,354,1,"[(43840, 47360)]"
7,EN30QA284_EN0051_20210919.wav,354,1,"[(46720, 47680)]"
8,EN10QC240_EN0101_20211101.wav,354,1,"[(36480, 41280)]"
9,EN30QA248_EN0051_20210919.wav,354,1,"[(45440, 46400)]"
10,EN40QB241_EN0101_20211109.wav,354,0,[]
11,EN10QC248_EN0101_20211101.wav,354,1,"[(0, 1600)]"
12,EN40QB275_EN0101_20211109.wav,354,1,"[(0, 1600)]"
13,EN20QB276_EN0087_20211012.wav,354,0,[]
14,EN40QB291_EN0101_20211109.wav,354,0,[]
15,EN10QC254_EN0101_20211101.wav,354,1,"[(0, 1600)]"
16,EN10QC248_EN0087_20211007.wav,354,0,[]
17,EN40QB246_EN0087_20211023.wav,354,0,[]
18,EN20QB276_EN0051_20210915.wav,354,1,"[(50880, 54720)]"
19,EN40QB278_EN0101_20211109.wav,354,0,[]
20,EN10QC258_EN0101_20211101.wav,354,0,[]
21,EN20QB257_EN0087_20211012.wav,354,0,[]
22,EN20QB278_EN0087_20211012.wav,354,0,[]
23,EN40QB283_EN0101_20211109.wav,354,0,[]
24,EN30QA286_EN0087_20211009.wav,354,0,[]
25,EN40QB275_EN0087_20211023.wav,354,0,[]
26,EN40QB287_EN0101_20211109.wav,354,0,[]
27,EN30QA284_EN0087_20211009.wav,354,0,[]
28,EN40QB296_EN0101_20211109.wav,354,0,[]
29,EN40QB288_EN0101_20211109.wav,354,1,"[(0, 1600)]"
30,EN40QB238_EN0087_20211023.wav,354,0,[]
31,EN30QA282_EN0087_20211009.wav,354,0,[]
32,EN50QA240_EN0087_20211013.wav,354,0,[]
33,EN50QA274_EN0027_20210815.wav,354,1,"[(56320, 57280)]"
34,EN30QA299_EN0087_20211009.wav,354,0,[]
35,EN20QB277_EN0051_20210915.wav,354,0,[]
36,EN40QB229_EN0101_20211109.wav,354,0,[]
37,EN40QB288_EN0087_20211023.wav,354,0,[]
38,EN10QC268_EN0101_20211101.wav,354,0,[]
39,EN10QC226_EN0101_20211027.wav,354,0,[]
40,EN50QA267_EN0087_20211013.wav,354,0,[]
41,EN46RB142_EN0015_20210921.wav,354,1,"[(14080, 15360)]"
42,EN10QC256_EN0101_20211101.wav,354,0,[]
43,EN10QC273_EN0101_20211101.wav,354,0,[]
44,EN40QB274_EN0101_20211109.wav,354,0,[]
45,EN30QA286_EN0051_20210919.wav,354,0,[]
46,EN54RA097_EN0015_20210929.wav,354,0,[]
47,EN14RC081_EN0015_20210808.wav,354,0,[]
48,EN14RC082_EN0015_20210808.wav,354,0,[]
49,EN49RB203_EN0015_20210928.wav,354,0,[]
50,EN49RB225_EN0015_20210928.wav,354,0,[]
51,EN30QA251_EN0087_20211009.wav,354,0,[]
52,EN44RB077_EN0015_20210921.wav,354,0,[]
53,EN40QB293_EN0101_20211109.wav,354,0,[]
54,EN18RC180_EN0015_20210808.wav,354,0,[]
55,EN12RC044_EN0015_20210808.wav,354,0,[]
56,EN11RC013_EN0015_20210808.wav,354,0,[]
57,EN10QC291_EN0119_20211025.wav,354,0,[]
58,EN16RC144_EN0015_20210808.wav,354,0,[]
59,EN25RB109_EN0015_20211010.wav,354,0,[]
60,EN40QB267_EN0101_20211109.wav,354,0,[]
61,EN10QC290_EN0101_20211104.wav,354,0,[]
62,EN12RC026_EN0015_20210808.wav,354,0,[]
63,EN16RC140_EN0015_20210808.wav,354,0,[]
64,EN37RA173_EN0274_20211107.wav,354,2,"[(0, 320), (960, 1600)]"
65,EN54RA086_EN0015_20210929.wav,354,0,[]
66,EN18RC195_EN0015_20210808.wav,354,0,[]
67,EN59RA202_EN0015_20210929.wav,354,0,[]
68,EN42RB026_EN0015_20210825.wav,354,0,[]
69,EN15RC103_EN0015_20210808.wav,354,0,[]
70,EN42RB038_EN0015_20210825.wav,354,0,[]
71,EN14RC100_EN0015_20210808.wav,354,0,[]
72,EN50QA297_EN0087_20211013.wav,354,0,[]
